"species","RCP","OA","meanlatinit","meanslope","decshift"
690206,"R85","N",-2.08893624935876,-0.0186447562334997,-20.6956794191846
690206,"R85","Y",-2.08889189569188,-0.0184785290806921,-20.5111672795683
690215,"R85","N",-24.6505701555724,-0.00377997729779887,-4.19577480055675
690215,"R85","Y",-24.6505862487441,-0.00365537793756998,-4.05746951070268
690217,"R85","N",3.45398829126654,0.0012429689402825,1.37969552371358
690217,"R85","Y",3.45397896830996,0.00124317455088608,1.37992375148355
690218,"R85","N",35.393241454926,0.00413463858989294,4.58944883478117
690218,"R85","Y",35.393241454926,0.00410268745672887,4.55398307696905
690219,"R85","N",2.42043566011237,0.0120810603013259,13.4099769344717
690219,"R85","Y",2.42039281639509,0.0119172676816439,13.2281671266248
690227,"R85","N",32.2292336286281,0.0553302337016793,61.4165594088641
690227,"R85","Y",32.229233412632,0.0552232910828703,61.2978531019861
690228,"R85","N",-0.975208975340216,0.0305385921651161,33.8978373032789
690228,"R85","Y",-0.97511820897085,0.0308183517261159,34.2083704159887
690230,"R85","N",-22.8591272304453,-0.00947312864622852,-10.5151727973137
690230,"R85","Y",-22.8590301321883,-0.00943567669590043,-10.4736011324495
690232,"R85","N",16.6891539889474,0.00367881568926087,4.08348541507957
690232,"R85","Y",16.6862226521561,0.00342749359925668,3.80451789517491
690241,"R85","N",41.2646738874294,-0.00888007353242865,-9.85688162099581
690241,"R85","Y",41.2600189724374,-0.010653220159543,-11.8250743770927
690242,"R85","N",35.7753515562806,0.00370782459520126,4.11568530067339
690242,"R85","Y",35.7751859851607,0.00266081634013938,2.95350613755472
690249,"R85","N",-23.4266067216053,-0.000789244440997392,-0.876061329507104
690249,"R85","Y",-23.4265243120888,-0.00074215205051422,-0.823788776070784
690253,"R85","N",-21.9398756985207,-0.000948813715369584,-1.05318322406024
690253,"R85","Y",-21.9398990819806,-0.000923368004292165,-1.0249384847643
690256,"R85","N",-41.0709933581002,-0.00392724877655929,-4.35924614198082
690256,"R85","Y",-41.0701102668346,-0.00307646256448514,-3.41487344657851
690257,"R85","N",-41.5003997063943,0.000602159240658491,0.668396757130925
690257,"R85","Y",-41.500627151459,0.00065658699378392,0.728811563100151
690259,"R85","N",-37.4091698101448,-0.00279498870606587,-3.10243746373311
690259,"R85","Y",-37.4091698101448,-0.00287763522682874,-3.1941751017799
690265,"R85","N",31.7240263514432,0.000532393081943011,0.590956320956742
690265,"R85","Y",31.7240138210098,0.000473660182306034,0.525762802359698
690268,"R85","N",27.0042908810228,-0.00215907024796989,-2.39656797524658
690268,"R85","Y",27.0043063559613,-0.00228927494089771,-2.54109518439646
690269,"R85","N",58.1907875279712,0.0215210005044497,23.8883105599392
690269,"R85","Y",58.189603934416,0.0215108103154334,23.8769994501311
690270,"R85","N",38.76511396955,0.00197751101084189,2.1950372220345
690270,"R85","Y",38.759431782371,0.000311938331344041,0.346251547791886
690271,"R85","N",43.5378987449466,0.023697614386476,26.3043519689883
690271,"R85","Y",43.5379266810518,0.0234882483400341,26.0719556574379
690272,"R85","N",27.5168691671569,-0.00121777035320128,-1.35172509205342
690272,"R85","Y",27.5168820930422,-0.00128660031446401,-1.42812634905505
690273,"R85","N",44.4537313341427,-0.00515357665683469,-5.7204700890865
690273,"R85","Y",44.4537313691529,-0.00515365841659855,-5.72056084242439
690274,"R85","N",52.7700760344751,-0.00274050087027886,-3.04195596600953
690274,"R85","Y",52.770076107633,-0.00236546918965606,-2.62567080051822
690275,"R85","N",50.9922090249417,-0.000762531257439837,-0.846409695758219
