"species","RCP","OA","meanRangeDiff","meanRangePerCh"
690090,"R85","N",-372957.445575758,-51.4115868971898
690090,"R85","Y",-418955.394969697,-57.2526432272507
690091,"R85","N",44933.1629090908,2.35497353881265
690091,"R85","Y",36599.7162424243,1.91969292584179
690092,"R85","N",-200708.980969697,-8.39758801467153
690092,"R85","Y",-203396.697393939,-8.50866977369957
690100,"R85","N",-37144.217,-4.35535279992852
690100,"R85","Y",-36981.0263333333,-4.33031538223988
690105,"R85","N",428310.20530303,17.0058974216025
690105,"R85","Y",428474.284090909,17.0123091250431
690109,"R85","N",1711.40372727268,0.0430047648459194
690109,"R85","Y",1711.40372727268,0.0430047648459194
690115,"R85","N",277665.620818182,42.1874607650573
690115,"R85","Y",275146.899484848,41.7999357895755
690119,"R85","N",170310.707575758,12.7910757428918
690119,"R85","Y",170345.065757576,12.7934881437165
690120,"R85","N",-746447.821212121,-41.7663198148412
690120,"R85","Y",-746903.346969697,-41.7919954059478
690122,"R85","N",422892.444939394,23.9158491815898
690122,"R85","Y",410900.847060606,23.2352163822038
690123,"R85","N",-14740.7871818182,-1.0763760175593
690123,"R85","Y",-17263.9781818182,-1.28752630843163
690124,"R85","N",-2822939.19421212,-62.7443275849543
690124,"R85","Y",-2927796.56724242,-65.0712399569477
690125,"R85","N",-56466.032151515,-2.6672611110008
690125,"R85","Y",-56703.4214848485,-2.67865255578238
690126,"R85","N",-101078.812545454,-4.04753135503498
690126,"R85","Y",-121645.075272727,-4.85513251545632
690127,"R85","N",1366.50672727274,0.425144091292641
690127,"R85","Y",1110.43490909092,0.333450319232478
690133,"R85","N",-27056.97,-2.48389983664034
690133,"R85","Y",-27034.7763636364,-2.48104357598037
690143,"R85","N",-782343.538030303,-12.451259001764
690143,"R85","Y",-787344.549242424,-12.5308431130233
690146,"R85","N",-61080.3907272727,-15.3076654058299
690146,"R85","Y",-61720.7328484848,-15.4664588420577
690151,"R85","N",-1106076.98254545,-16.9208658998079
690151,"R85","Y",-1098142.09678788,-16.8005566038268
690156,"R85","N",66067.374969697,4.88731028414159
690156,"R85","Y",65715.7746666667,4.86150630453412
690157,"R85","N",23577.2697575758,4.3768408021082
690157,"R85","Y",22421.4076363637,4.16211082379592
690158,"R85","N",-123138.778515151,-10.0129611172869
690158,"R85","Y",-122916.045181818,-9.99472814826204
690161,"R85","N",-5736.82421212123,-0.673862216626426
690161,"R85","Y",-6383.42360606064,-0.750048301128362
690163,"R85","N",-1675034.52442424,-20.084158280943
690163,"R85","Y",-1734263.22042424,-20.9414691327256
690166,"R85","N",-13777.9983030303,-0.690655896113543
690166,"R85","Y",-3001.36921212124,-0.132378753700145
690168,"R85","N",59169.0741515151,12.625778597779
690168,"R85","Y",59380.7518181818,12.6732276719965
690169,"R85","N",30268.1471212121,5.16928670783854
690169,"R85","Y",32647.4446969697,5.59354805510563
690176,"R85","N",-39475.0800606062,-2.13527365434512
690176,"R85","Y",-39475.0800606062,-2.13527365434512
690180,"R85","N",-1772.97693939395,-0.426809071296198
690180,"R85","Y",2238.29093939393,1.53609649673376
690185,"R85","N",162247.968818182,5.31067858778735
690185,"R85","Y",153207.761545454,5.01300706188351
690189,"R85","N",0,0
690189,"R85","Y",0,0
690190,"R85","N",-972644.624969697,-19.7971760469988
690190,"R85","Y",-989191.104090909,-20.1774373843081
690194,"R85","N",0,0
690194,"R85","Y",0,0
690196,"R85","N",121986.062121212,12.2290522791291
690196,"R85","Y",130158.307575758,13.0479907386623
690198,"R85","N",5392141.07539394,128.203884433368
690198,"R85","Y",5387543.80436364,128.090474226388
690199,"R85","N",-4266.8371515151,-0.503167433574226
690199,"R85","Y",-4266.8371515151,-0.503167433574226
690201,"R85","N",-27055.1740606061,-1.68616325056599
690201,"R85","Y",-28631.4955757576,-1.76863473786691
690203,"R85","N",-3925.62048484847,-0.450970973238242
690203,"R85","Y",-5110.08199999998,-0.588519976479951
690205,"R85","N",3163.01518181818,7.16151423694043
690205,"R85","Y",3085.13275757576,7.00535033033191
690206,"R85","N",-9886858.73612121,-32.4256416034805
690206,"R85","Y",-10046192.8182424,-32.9568387167288
690215,"R85","N",0,0
690215,"R85","Y",0,0
690217,"R85","N",229.152090909076,0.0670437515579842
690217,"R85","Y",-1016.1473030303,-0.32885187405432
690218,"R85","N",-57819.6482424242,-32.5456745827601
