"lme","Year","RCP","MMA.MeanCat","MMA.TrimMeanCat","MMA.MedCat","Count"
0,1993,"R85",-0.392952311155955,-0.392952311155955,-0.176010099392726,206
0,1994,"R26",-0.431971037298196,-0.431971037298196,-0.195494505557842,206
0,1994,"R85",-0.412640113903483,-0.412640113903483,-0.195750378954467,206
0,1995,"R26",-0.446780178209016,-0.446780178209016,-0.197346010773699,206
0,1995,"R85",-0.426762572091826,-0.426762572091826,-0.197346010773699,206
0,1996,"R26",-0.452988757378607,-0.452988757378607,-0.200116754812093,206
0,1996,"R85",-0.433068166339076,-0.433068166339076,-0.20025275482913,206
0,1997,"R26",-0.484390784180543,-0.484390784180543,-0.235677087393429,206
0,1997,"R85",-0.464188389598526,-0.464188389598526,-0.235677087393429,206
0,1998,"R26",-0.508136919567725,-0.508136919567725,-0.240537290428835,206
0,1998,"R85",-0.487746952049019,-0.487746952049019,-0.240537290428835,206
0,1999,"R26",-0.519241160451909,-0.519241160451909,-0.249244788349339,206
0,1999,"R85",-0.499083533785205,-0.499083533785205,-0.249244794903991,206
0,2000,"R26",-0.535704469973268,-0.535704469973268,-0.252715206037833,206
0,2000,"R85",-0.515784812608867,-0.515784812608867,-0.252715206037833,206
0,2001,"R26",-0.55145601591867,-0.55145601591867,-0.256815261391297,206
0,2001,"R85",-0.542078290652728,-0.542078290652728,-0.264321605646199,206
0,2002,"R26",-0.568884281655824,-0.568884281655824,-0.263706761551633,206
0,2002,"R85",-0.567945458925964,-0.567945458925964,-0.270997483082178,206
0,2003,"R26",-0.589308026004259,-0.589308026004259,-0.27297942006768,206
0,2003,"R85",-0.575888742438979,-0.575888742438979,-0.27872801792799,206
0,2004,"R26",-0.603327707140479,-0.603327707140479,-0.270801850059993,206
0,2004,"R85",-0.590607280929573,-0.590607280929573,-0.285122484159944,206
0,2005,"R26",-0.626020958827373,-0.626020958827373,-0.278600880281185,206
0,2005,"R85",-0.616888810637772,-0.616888810637772,-0.295083030330828,206
0,2006,"R26",-0.653199993937773,-0.653199993937773,-0.2898838785637,206
0,2006,"R85",-0.643797335540124,-0.643797335540124,-0.295722962456926,206
0,2007,"R26",-0.658493432309745,-0.658493432309745,-0.284146538088567,206
0,2007,"R85",-0.655234971197357,-0.655234971197357,-0.293382346814543,206
0,2008,"R26",-0.657189420556547,-0.657189420556547,-0.286287626700386,206
0,2008,"R85",-0.686528593602926,-0.686528593602926,-0.295579992698483,206
0,2009,"R26",-0.666647992078142,-0.666647992078142,-0.281460063440783,206
0,2009,"R85",-0.715793815022594,-0.715793815022594,-0.309722840110047,206
0,2010,"R26",-0.698664878686349,-0.698664878686349,-0.298986432095234,206
0,2010,"R85",-0.758585913192958,-0.758585913192958,-0.315202991890902,206
0,2011,"R26",-0.71125549231783,-0.71125549231783,-0.305763961792221,206
0,2011,"R85",-0.770837226330501,-0.770837226330501,-0.313081745273334,206
0,2012,"R26",-0.726590916482614,-0.726590916482614,-0.320881805626382,206
0,2012,"R85",-0.786304107992308,-0.786304107992308,-0.328363136760763,206
0,2013,"R26",-0.730650830368747,-0.730650830368747,-0.324385365320677,206
0,2013,"R85",-0.821498667188703,-0.821498667188703,-0.333612172067977,206
0,2014,"R26",-0.744934841261488,-0.744934841261488,-0.333590751434224,206
0,2014,"R85",-0.859783795200979,-0.859783795200979,-0.354963097203322,206
0,2015,"R26",-0.739495567121987,-0.739495567121987,-0.338089322316981,206
0,2015,"R85",-0.881320590482499,-0.881320590482499,-0.356529153135776,206
0,2016,"R26",-0.746844971988594,-0.746844971988594,-0.336163266867312,206
0,2016,"R85",-0.909970304635438,-0.909970304635438,-0.381489201088948,206
0,2017,"R26",-0.754976081519573,-0.754976081519573,-0.336376501047658,206
